,name,summary,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,bedrooms,Country,Total_price,Review
2773,İstanbul Üsküdar  Sweet House in Rent for 4 months,"A cute Üsküdar house with garden 2 + 1 is my home :) Üsküdar Dogancilar Park is 3 minutes walk away. At 50 mt from the door you can go to Kadikoy and you can get there by bus in 25 minutes. You can reach the Marmaray, the metro, the ferry pier and the motor scaffolding by a 5 minute minibus or bus journey or a 10 minute walk.",Apartment,Shared room,Real Bed,1,120,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,991.0,0
2774,*-25% Discount* Modern Space Suite  with Concierge,"This suite is located in one of the most exclusive buildings in the heart of Downtown Montreal. The location is prime as it is on the same street as Montreal's most exclusive malls, restaurants, and steps away from Montreal's famous Bell Center. This suite is furnished with exquisite furniture and decorated with taste. Guests will enjoy the pool, gym, and rooftop with BBQs. This suite offers an exclusive & luxurious experience to visiting guests.",Serviced apartment,Entire home/apt,Real Bed,2,1125,2018-04-09 04:00:00.000000000,2018-08-25 04:00:00.000000000,1.0,Canada,669.0,19
2775,Espaço Palmeiras,"Preço do Alojamento / Price PAX: -  1 Pessoa: 40 €/Noite (Mínimo 3 Noites)*/- 1 Person: 40 € / Night (Minimum 3 Nights) * - 2 Pessoas:  (Mínimo 2 Noites)*/ 2 People: (Minimum 2 Nights) * - A partir da 1ª pessoa: 15 € Hóspede / Noite / - From the 2rd person: € 15 / Night *Taxas não incluídas Local amplo, todo remodelado, arejado, junto a transportes públicos (metro de S.Ovídio ) e serviços. Todas das camas em ambos os 3 quartos, podem-se converter em 3 camas de casal sem perca de qualidade.",Apartment,Entire home/apt,Real Bed,2,1125,2018-05-12 04:00:00.000000000,2018-08-01 04:00:00.000000000,3.0,Portugal,210.0,3
2776,"City Studio - Lan Kwai Fong, Central","**This is a 4th floor walk-up, no elevator. LOUD sounds from bars and restaurants until 6am.** This flat is located in the heart of the Entertainment District in Lan Kwai Fong, Central, Hong Kong.  It gets NOISY especially Friday and Saturday nights until early hours of the morning when people are out having fun.  Though not a place for light sleepers, it is suitable for guests looking for a convenient night out with bars and restaurants right below. Definitely a great spot for a few nights!",Apartment,Entire home/apt,Real Bed,2,60,2018-04-09 04:00:00.000000000,2019-03-06 05:00:00.000000000,0.0,Hong Kong,1642.0,46
2777,"The Aloha Studio in Sunny Kihei, Maui!","This beautiful unit in Kihei includes all the essentials for a comfortable stay. Kihei Bay Surf is conveniently located in the quiet side of Kihei by Kalepolepo Beach where you can enjoy picnics, and beautiful sunsets. The unit is less than 10 min away from shopping and restaurants. The complex includes a pool, bbq area, tennis courts, and coin operated laundry room. This is a fantastic way to enjoy Maui at an affordable price. We also have a Jeep available to rent if interested. Aloha!",Condominium,Entire home/apt,Real Bed,3,1125,2018-05-10 04:00:00.000000000,2019-02-26 05:00:00.000000000,1.0,United States,190.0,49
2778,旺角酒店式公寓,宽敞的一房一厅公寓,Condominium,Entire home/apt,Real Bed,2,1125,2018-05-01 04:00:00.000000000,2019-02-10 05:00:00.000000000,1.0,Hong Kong,1567.0,5
2779,Beautiful appart. with nice view close to downtown,Beautiful well illuminated housing with views close to the city center,Apartment,Entire home/apt,Real Bed,10,35,2018-06-17 04:00:00.000000000,2018-07-11 04:00:00.000000000,1.0,Canada,107.0,2
2780,Hawaiian Jungle Hut,,Apartment,Entire home/apt,Real Bed,3,10,2010-04-18 04:00:00.000000000,2019-01-23 05:00:00.000000000,1.0,United States,68.0,139
2781,Belle maison,Excellente maison pour couple à 30 min du Centre Ville de Montréal,House,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Canada,85.0,0
2782,Leo's economy accommodation,central air condition in the whole house area. 17 mins bus to Prammatta. Plenty of parking in the land of house. Nice and tidy living environment.,House,Private room,Real Bed,1,31,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,4.0,Australia,65.0,0
2783,Beach living in Dee Why,"Modern, light and walking distance to Dee Why beach. This spacious and well equipped 2 bedroom apartment is perfect for either a short or long stay. Walking distance to cafes, shops and transport as well as secure parking. If you are after the beach lifestyle in Sydney within 30 mins of the city, this is the perfect location.",Apartment,Entire home/apt,Real Bed,3,1123,2018-12-25 05:00:00.000000000,2018-12-25 05:00:00.000000000,2.0,Australia,391.0,1
2784,One istanbul Suadiye 1+1 (50 m2),İmagine a placewhere you feel like you are at home  one block away from Bagdat street.you are always on your own with all comfort... This is your second home  in İstanbul. Free Wifi - Breakfast included and daily H/K service,Aparthotel,Private room,Real Bed,1,365,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,1049.0,0
2785,Você quer praia @?,"Apartamento conjugado confortável e aconchegante, prédio com saída para praia de Copacabana e para Av Nossa senhora de Copacabana, farto de condução, mercado, farmácias, bares e restaurantes! 10min a pé para o arpoador e Ipanema!",Apartment,Entire home/apt,Real Bed,1,6,2018-07-10 04:00:00.000000000,2019-02-09 05:00:00.000000000,1.0,Brazil,67.0,24
2786,Paradise in Willoughby,"Welcome to our recently renovated entertainers dream with space to escape.  Our light filled pavillion with designer kitchen, opening on to entertainers deck, pool & garden is perfect for your family/multiple family getaway. With second living area to escape to, & 3 double bedrooms with additional matresses available (master king with ensuite) there is plenty of space for all. 1min to public transport, 15 mins to city & 20 mins to the beach this is a great place to be based for a Sydney visit.",Bungalow,Entire home/apt,Real Bed,5,28,2018-12-15 05:00:00.000000000,2019-01-04 05:00:00.000000000,3.0,Australia,1600.0,3
2787,Big&Bright RM#B21n,Just 1 minute walking to Monk station of Green Line Metro. It is private room  in one detached house which combines modern decoration with classical . There is 1 double size bed inside and suitble for 1 guest to live in. Note:this room is located  in basement.,House,Private room,Real Bed,32,184,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Canada,35.0,0
